Road_Type,Weather,Traffic_Density,Speed_Limit,Bike_Speed,Accident_Severity
Village Road,Rainy,4.0,50.0,59.0,Severe Accident
Village Road,Clear,2.0,50.0,61.0,Severe Accident
Village Road,Clear,7.0,50.0,71.0,Severe Accident
Village Road,Foggy,5.0,50.0,70.0,Severe Accident
Village Road,Rainy,2.0,50.0,67.0,Severe Accident
Village Road,Clear,5.0,50.0,74.0,Severe Accident
Village Road,Clear,8.0,50.0,72.0,Severe Accident
Village Road,Foggy,4.0,50.0,67.0,Severe Accident
Village Road,Rainy,8.0,50.0,67.0,Severe Accident
Village Road,Clear,4.0,50.0,62.0,Severe Accident
Village Road,Clear,5.0,50.0,68.0,Severe Accident
Village Road,Foggy,7.0,50.0,57.0,Severe Accident
Village Road,Rainy,4.0,50.0,59.0,Severe Accident
Village Road,Clear,6.0,50.0,61.0,Severe Accident
Village Road,Clear,3.0,50.0,75.0,Severe Accident
Village Road,Foggy,1.0,50.0,60.0,Severe Accident
Village Road,Rainy,4.0,50.0,68.0,Severe Accident
Village Road,Clear,5.0,50.0,56.0,Severe Accident
Village Road,Clear,8.0,50.0,60.0,Severe Accident
Village Road,Foggy,3.0,50.0,62.0,Severe Accident
Village Road,Rainy,7.0,50.0,60.0,Severe Accident
Village Road,Clear,6.0,50.0,58.0,Severe Accident
Village Road,Clear,7.0,50.0,67.0,Severe Accident
Village Road,Foggy,3.0,50.0,61.0,Severe Accident
Village Road,Rainy,2.0,50.0,56.0,Severe Accident
Village Road,Clear,7.0,60.0,70.0,Severe Accident
Village Road,Clear,8.0,60.0,86.0,Severe Accident
Village Road,Foggy,4.0,60.0,75.0,Severe Accident
Village Road,Rainy,1.0,60.0,77.0,Severe Accident
Village Road,Clear,3.0,60.0,76.0,Severe Accident
Village Road,Clear,1.0,60.0,78.0,Severe Accident
Village Road,Foggy,1.0,60.0,82.0,Severe Accident
Village Road,Rainy,6.0,60.0,85.0,Severe Accident
Village Road,Clear,3.0,60.0,82.0,Severe Accident
Village Road,Clear,3.0,60.0,79.0,Severe Accident
Village Road,Foggy,5.0,60.0,89.0,Severe Accident
Village Road,Rainy,5.0,60.0,84.0,Severe Accident
Village Road,Clear,8.0,60.0,87.0,Severe Accident
Village Road,Clear,7.0,60.0,71.0,Severe Accident
Village Road,Foggy,6.0,60.0,87.0,Severe Accident
Village Road,Rainy,7.0,60.0,84.0,Severe Accident
Village Road,Clear,5.0,60.0,80.0,Severe Accident
Village Road,Clear,5.0,60.0,70.0,Severe Accident
Village Road,Foggy,5.0,60.0,89.0,Severe Accident
Village Road,Rainy,3.0,60.0,80.0,Severe Accident
Village Road,Clear,8.0,60.0,71.0,Severe Accident
Village Road,Clear,8.0,60.0,74.0,Severe Accident
Village Road,Foggy,7.0,60.0,81.0,Severe Accident
Village Road,Rainy,8.0,60.0,76.0,Severe Accident
Village Road,Clear,1.0,60.0,76.0,Severe Accident
Village Road,Clear,4.0,60.0,79.0,Severe Accident
Village Road,Foggy,8.0,60.0,72.0,Severe Accident
Village Road,Rainy,1.0,60.0,78.0,Severe Accident
Village Road,Clear,1.0,60.0,75.0,Severe Accident
Village Road,Clear,3.0,60.0,85.0,Severe Accident
Village Road,Foggy,7.0,60.0,88.0,Severe Accident
Village Road,Rainy,4.0,60.0,88.0,Severe Accident
Village Road,Clear,6.0,60.0,82.0,Severe Accident
Village Road,Clear,7.0,60.0,74.0,Severe Accident
Village Road,Foggy,7.0,60.0,86.0,Severe Accident
Village Road,Rainy,4.0,60.0,74.0,Severe Accident
Village Road,Clear,8.0,60.0,88.0,Severe Accident
Village Road,Clear,8.0,60.0,76.0,Severe Accident
Village Road,Foggy,2.0,60.0,71.0,Severe Accident
Village Road,Rainy,6.0,60.0,77.0,Severe Accident
Village Road,Clear,4.0,60.0,77.0,Severe Accident
Village Road,Clear,7.0,60.0,81.0,Severe Accident
Village Road,Foggy,7.0,60.0,70.0,Severe Accident
Village Road,Rainy,4.0,60.0,82.0,Severe Accident
Village Road,Clear,4.0,60.0,85.0,Severe Accident
Village Road,Clear,8.0,60.0,80.0,Severe Accident
Village Road,Foggy,2.0,60.0,74.0,Severe Accident
Village Road,Rainy,5.0,60.0,84.0,Severe Accident
Village Road,Clear,6.0,60.0,80.0,Severe Accident
Village Road,Clear,7.0,60.0,90.0,Severe Accident
Village Road,Foggy,7.0,60.0,73.0,Severe Accident
Village Road,Rainy,6.0,60.0,86.0,Severe Accident
Village Road,Clear,5.0,60.0,70.0,Severe Accident
Village Road,Clear,7.0,60.0,76.0,Severe Accident
Village Road,Foggy,6.0,60.0,84.0,Severe Accident
Village Road,Rainy,7.0,60.0,89.0,Severe Accident
Village Road,Clear,2.0,60.0,78.0,Severe Accident
Village Road,Clear,1.0,60.0,84.0,Severe Accident
Village Road,Foggy,1.0,60.0,82.0,Severe Accident
Village Road,Rainy,5.0,60.0,81.0,Severe Accident
Village Road,Clear,2.0,60.0,75.0,Severe Accident
Village Road,Clear,6.0,60.0,77.0,Severe Accident
Village Road,Foggy,4.0,60.0,86.0,Severe Accident
Village Road,Rainy,5.0,60.0,83.0,Severe Accident
Village Road,Clear,4.0,60.0,89.0,Severe Accident
Village Road,Clear,4.0,60.0,81.0,Severe Accident
Village Road,Foggy,6.0,60.0,86.0,Severe Accident
Village Road,Rainy,8.0,60.0,84.0,Severe Accident
Village Road,Clear,3.0,60.0,80.0,Severe Accident
Village Road,Clear,7.0,60.0,73.0,Severe Accident
Village Road,Foggy,1.0,60.0,85.0,Severe Accident
Village Road,Rainy,4.0,60.0,88.0,Severe Accident
Village Road,Clear,7.0,60.0,81.0,Severe Accident
Village Road,Clear,3.0,60.0,79.0,Severe Accident
Village Road,Foggy,2.0,60.0,77.0,Severe Accident
Village Road,Rainy,1.0,60.0,84.0,Severe Accident
Village Road,Clear,4.0,60.0,70.0,Severe Accident
Village Road,Clear,2.0,60.0,79.0,Severe Accident
Village Road,Foggy,7.0,60.0,84.0,Severe Accident
Village Road,Rainy,2.0,60.0,75.0,Severe Accident
Village Road,Clear,6.0,60.0,72.0,Severe Accident
Village Road,Clear,1.0,60.0,70.0,Severe Accident
Village Road,Foggy,2.0,60.0,73.0,Severe Accident
Village Road,Rainy,2.0,60.0,86.0,Severe Accident
Village Road,Clear,8.0,60.0,84.0,Severe Accident
Village Road,Clear,3.0,60.0,71.0,Severe Accident
Village Road,Foggy,7.0,60.0,71.0,Severe Accident
Village Road,Rainy,8.0,60.0,76.0,Severe Accident
Village Road,Clear,3.0,60.0,84.0,Severe Accident
Village Road,Clear,7.0,60.0,70.0,Severe Accident
Village Road,Foggy,2.0,60.0,85.0,Severe Accident
Village Road,Rainy,8.0,60.0,80.0,Severe Accident
Village Road,Clear,3.0,60.0,71.0,Severe Accident
Village Road,Clear,2.0,60.0,84.0,Severe Accident
Village Road,Foggy,7.0,60.0,70.0,Severe Accident
Village Road,Rainy,4.0,60.0,73.0,Severe Accident
Village Road,Clear,7.0,60.0,78.0,Severe Accident
Village Road,Clear,3.0,60.0,82.0,Severe Accident
Village Road,Foggy,2.0,60.0,84.0,Severe Accident
Village Road,Rainy,8.0,60.0,88.0,Severe Accident
Village Road,Clear,8.0,60.0,73.0,Severe Accident
Village Road,Clear,3.0,60.0,89.0,Severe Accident
Village Road,Foggy,1.0,60.0,89.0,Severe Accident
Village Road,Rainy,2.0,60.0,84.0,Severe Accident
Village Road,Clear,6.0,60.0,86.0,Severe Accident
Village Road,Clear,1.0,60.0,89.0,Severe Accident
Village Road,Foggy,1.0,60.0,90.0,Severe Accident
Village Road,Rainy,2.0,60.0,89.0,Severe Accident
Village Road,Clear,8.0,60.0,88.0,Severe Accident
Village Road,Clear,2.0,60.0,71.0,Severe Accident
Village Road,Foggy,6.0,60.0,87.0,Severe Accident
Village Road,Rainy,6.0,60.0,82.0,Severe Accident
Village Road,Clear,5.0,60.0,78.0,Severe Accident
Village Road,Clear,2.0,60.0,74.0,Severe Accident
Village Road,Foggy,2.0,60.0,75.0,Severe Accident
Village Road,Rainy,1.0,60.0,83.0,Severe Accident
Village Road,Clear,6.0,60.0,87.0,Severe Accident
Village Road,Clear,6.0,60.0,88.0,Severe Accident
Village Road,Foggy,3.0,60.0,89.0,Severe Accident
Village Road,Rainy,2.0,60.0,82.0,Severe Accident
Village Road,Clear,5.0,60.0,82.0,Severe Accident
Village Road,Clear,5.0,60.0,79.0,Severe Accident
Village Road,Foggy,3.0,60.0,79.0,Severe Accident
Village Road,Rainy,1.0,60.0,89.0,Severe Accident
Village Road,Clear,7.0,60.0,81.0,Severe Accident
Village Road,Clear,7.0,60.0,85.0,Severe Accident
Village Road,Foggy,1.0,60.0,73.0,Severe Accident
Village Road,Rainy,6.0,60.0,79.0,Severe Accident
Village Road,Clear,7.0,60.0,70.0,Severe Accident
Village Road,Clear,6.0,60.0,85.0,Severe Accident
Village Road,Foggy,5.0,60.0,83.0,Severe Accident
Village Road,Rainy,2.0,60.0,82.0,Severe Accident
Village Road,Clear,2.0,60.0,73.0,Severe Accident
Village Road,Clear,2.0,60.0,78.0,Severe Accident
Village Road,Foggy,3.0,60.0,77.0,Severe Accident
Village Road,Rainy,3.0,60.0,84.0,Severe Accident
Village Road,Clear,7.0,60.0,74.0,Severe Accident
Village Road,Clear,5.0,60.0,78.0,Severe Accident
Village Road,Foggy,6.0,60.0,86.0,Severe Accident
Village Road,Rainy,8.0,60.0,71.0,Severe Accident
Village Road,Clear,5.0,60.0,74.0,Severe Accident
Village Road,Clear,2.0,60.0,81.0,Severe Accident
Village Road,Foggy,6.0,60.0,79.0,Severe Accident
Village Road,Rainy,3.0,60.0,75.0,Severe Accident
Village Road,Clear,5.0,60.0,75.0,Severe Accident
Village Road,Clear,5.0,60.0,82.0,Severe Accident
Village Road,Foggy,2.0,60.0,76.0,Severe Accident
Village Road,Rainy,7.0,60.0,90.0,Severe Accident
Village Road,Clear,6.0,60.0,78.0,Severe Accident
Village Road,Clear,3.0,60.0,82.0,Severe Accident
Village Road,Foggy,3.0,60.0,76.0,Severe Accident
Village Road,Rainy,5.0,60.0,70.0,Severe Accident
Village Road,Clear,6.0,60.0,83.0,Severe Accident
Village Road,Clear,3.0,60.0,76.0,Severe Accident
Village Road,Foggy,4.0,60.0,73.0,Severe Accident
Village Road,Rainy,5.0,60.0,80.0,Severe Accident
Village Road,Clear,7.0,60.0,75.0,Severe Accident
Village Road,Clear,5.0,60.0,72.0,Severe Accident
Village Road,Foggy,6.0,60.0,74.0,Severe Accident
Village Road,Rainy,3.0,60.0,71.0,Severe Accident
Village Road,Clear,6.0,60.0,87.0,Severe Accident
Village Road,Clear,7.0,60.0,71.0,Severe Accident
Village Road,Foggy,5.0,60.0,81.0,Severe Accident
Village Road,Rainy,1.0,60.0,80.0,Severe Accident
Village Road,Clear,5.0,60.0,76.0,Severe Accident
Village Road,Clear,5.0,60.0,90.0,Severe Accident
Village Road,Foggy,3.0,60.0,87.0,Severe Accident
Village Road,Rainy,8.0,60.0,74.0,Severe Accident
Village Road,Clear,1.0,60.0,70.0,Severe Accident
Village Road,Clear,5.0,60.0,84.0,Severe Accident
Village Road,Foggy,8.0,60.0,81.0,Severe Accident
Village Road,Rainy,4.0,60.0,80.0,Severe Accident
Village Road,Clear,1.0,60.0,85.0,Severe Accident
Village Road,Clear,8.0,60.0,86.0,Severe Accident
Village Road,Foggy,7.0,60.0,81.0,Severe Accident
Village Road,Rainy,7.0,60.0,71.0,Severe Accident
Village Road,Clear,3.0,60.0,72.0,Severe Accident
Village Road,Clear,5.0,60.0,87.0,Severe Accident
Village Road,Foggy,1.0,60.0,79.0,Severe Accident
Village Road,Rainy,4.0,60.0,71.0,Severe Accident
Village Road,Clear,2.0,60.0,86.0,Severe Accident
Village Road,Clear,4.0,60.0,90.0,Severe Accident
Village Road,Foggy,3.0,60.0,90.0,Severe Accident
Village Road,Rainy,8.0,60.0,78.0,Severe Accident
Village Road,Clear,5.0,60.0,83.0,Severe Accident
Village Road,Clear,5.0,60.0,73.0,Severe Accident
Village Road,Foggy,8.0,60.0,71.0,Severe Accident
Village Road,Rainy,6.0,60.0,71.0,Severe Accident
Village Road,Clear,3.0,60.0,82.0,Severe Accident
Village Road,Clear,4.0,60.0,79.0,Severe Accident
Village Road,Foggy,2.0,60.0,74.0,Severe Accident
Village Road,Rainy,8.0,60.0,83.0,Severe Accident
Village Road,Clear,1.0,60.0,77.0,Severe Accident
Village Road,Clear,2.0,60.0,90.0,Severe Accident
Village Road,Foggy,1.0,60.0,90.0,Severe Accident
Village Road,Rainy,5.0,60.0,75.0,Severe Accident
Village Road,Clear,4.0,60.0,81.0,Severe Accident
Village Road,Clear,2.0,60.0,87.0,Severe Accident
Village Road,Foggy,1.0,60.0,90.0,Severe Accident
Village Road,Rainy,1.0,60.0,80.0,Severe Accident
Village Road,Clear,2.0,60.0,88.0,Severe Accident
Village Road,Clear,5.0,60.0,77.0,Severe Accident
Village Road,Foggy,6.0,60.0,78.0,Severe Accident
Village Road,Rainy,4.0,60.0,86.0,Severe Accident
Village Road,Clear,8.0,60.0,86.0,Severe Accident
Village Road,Clear,2.0,60.0,82.0,Severe Accident
Village Road,Foggy,2.0,60.0,75.0,Severe Accident
Village Road,Rainy,1.0,60.0,82.0,Severe Accident
Village Road,Clear,1.0,60.0,73.0,Severe Accident
Village Road,Clear,1.0,60.0,83.0,Severe Accident
Village Road,Foggy,2.0,60.0,79.0,Severe Accident
Village Road,Rainy,3.0,60.0,86.0,Severe Accident
Village Road,Clear,8.0,60.0,70.0,Severe Accident
Village Road,Clear,3.0,60.0,73.0,Severe Accident
Village Road,Foggy,2.0,60.0,84.0,Severe Accident
Village Road,Rainy,1.0,60.0,71.0,Severe Accident
Village Road,Clear,7.0,60.0,76.0,Severe Accident
Village Road,Clear,4.0,60.0,90.0,Severe Accident
Village Road,Foggy,6.0,60.0,70.0,Severe Accident
Village Road,Rainy,6.0,60.0,76.0,Severe Accident
Village Road,Clear,7.0,60.0,80.0,Severe Accident
Village Road,Clear,4.0,60.0,80.0,Severe Accident
Village Road,Foggy,7.0,60.0,90.0,Severe Accident
Village Road,Rainy,7.0,60.0,85.0,Severe Accident
Village Road,Clear,3.0,60.0,77.0,Severe Accident
Village Road,Clear,5.0,60.0,89.0,Severe Accident
Village Road,Foggy,7.0,60.0,88.0,Severe Accident
Village Road,Rainy,8.0,60.0,76.0,Severe Accident
Village Road,Clear,6.0,60.0,80.0,Severe Accident
Village Road,Clear,3.0,60.0,85.0,Severe Accident
Village Road,Foggy,8.0,60.0,77.0,Severe Accident
Village Road,Rainy,2.0,60.0,85.0,Severe Accident
Village Road,Clear,8.0,60.0,78.0,Severe Accident
Village Road,Clear,5.0,60.0,75.0,Severe Accident
Village Road,Foggy,2.0,60.0,81.0,Severe Accident
Village Road,Rainy,5.0,60.0,80.0,Severe Accident
Village Road,Clear,5.0,60.0,70.0,Severe Accident
Village Road,Clear,5.0,60.0,89.0,Severe Accident
Village Road,Foggy,6.0,60.0,81.0,Severe Accident
Village Road,Rainy,3.0,60.0,78.0,Severe Accident
Village Road,Clear,7.0,60.0,83.0,Severe Accident
Village Road,Clear,2.0,60.0,86.0,Severe Accident
Village Road,Foggy,4.0,60.0,75.0,Severe Accident
Village Road,Rainy,4.0,60.0,90.0,Severe Accident
Village Road,Clear,4.0,60.0,79.0,Severe Accident
Village Road,Clear,2.0,60.0,85.0,Severe Accident
Village Road,Foggy,6.0,60.0,71.0,Severe Accident
Village Road,Rainy,7.0,60.0,74.0,Severe Accident
Village Road,Clear,7.0,60.0,70.0,Severe Accident
Village Road,Clear,5.0,60.0,78.0,Severe Accident
Village Road,Foggy,2.0,60.0,79.0,Severe Accident
Village Road,Rainy,8.0,60.0,90.0,Severe Accident
Village Road,Clear,6.0,60.0,89.0,Severe Accident
Village Road,Clear,3.0,60.0,75.0,Severe Accident
Village Road,Foggy,4.0,60.0,76.0,Severe Accident
Village Road,Rainy,3.0,60.0,85.0,Severe Accident
Village Road,Clear,6.0,60.0,85.0,Severe Accident
Village Road,Clear,6.0,60.0,89.0,Severe Accident
Village Road,Foggy,5.0,60.0,76.0,Severe Accident
Village Road,Rainy,8.0,60.0,84.0,Severe Accident
Village Road,Clear,4.0,60.0,73.0,Severe Accident
Village Road,Clear,2.0,60.0,80.0,Severe Accident
Village Road,Foggy,5.0,60.0,77.0,Severe Accident
Village Road,Rainy,3.0,60.0,75.0,Severe Accident
Village Road,Clear,3.0,60.0,73.0,Severe Accident
Village Road,Clear,2.0,60.0,71.0,Severe Accident
Village Road,Foggy,1.0,60.0,84.0,Severe Accident
Village Road,Rainy,5.0,60.0,89.0,Severe Accident
Village Road,Clear,3.0,60.0,72.0,Severe Accident
Village Road,Clear,4.0,60.0,74.0,Severe Accident
Village Road,Foggy,1.0,60.0,89.0,Severe Accident
Village Road,Rainy,7.0,60.0,73.0,Severe Accident
Village Road,Clear,6.0,60.0,81.0,Severe Accident
Village Road,Clear,6.0,60.0,84.0,Severe Accident
Village Road,Foggy,6.0,60.0,85.0,Severe Accident
Village Road,Rainy,6.0,60.0,78.0,Severe Accident
Village Road,Clear,4.0,60.0,70.0,Severe Accident
Village Road,Clear,7.0,60.0,86.0,Severe Accident
Village Road,Foggy,2.0,60.0,87.0,Severe Accident
Village Road,Rainy,7.0,60.0,77.0,Severe Accident
Village Road,Clear,2.0,60.0,80.0,Severe Accident
Village Road,Clear,3.0,60.0,71.0,Severe Accident
Village Road,Foggy,3.0,60.0,85.0,Severe Accident
Village Road,Rainy,8.0,60.0,77.0,Severe Accident
Village Road,Clear,4.0,60.0,82.0,Severe Accident
Village Road,Clear,6.0,60.0,77.0,Severe Accident
Village Road,Foggy,3.0,60.0,71.0,Severe Accident
Village Road,Rainy,3.0,60.0,75.0,Severe Accident
Village Road,Clear,4.0,60.0,87.0,Severe Accident
Village Road,Clear,4.0,60.0,85.0,Severe Accident
Village Road,Foggy,2.0,60.0,70.0,Severe Accident
Village Road,Rainy,1.0,60.0,70.0,Severe Accident
Village Road,Clear,6.0,60.0,81.0,Severe Accident
Village Road,Clear,2.0,60.0,79.0,Severe Accident
Village Road,Foggy,5.0,60.0,79.0,Severe Accident
Village Road,Rainy,3.0,60.0,85.0,Severe Accident
Village Road,Clear,6.0,60.0,80.0,Severe Accident
Village Road,Clear,3.0,60.0,80.0,Severe Accident
Village Road,Foggy,4.0,60.0,74.0,Severe Accident
Village Road,Rainy,4.0,60.0,87.0,Severe Accident
Village Road,Clear,4.0,60.0,70.0,Severe Accident
Village Road,Clear,2.0,60.0,84.0,Severe Accident
Village Road,Foggy,1.0,60.0,80.0,Severe Accident
Village Road,Rainy,8.0,60.0,89.0,Severe Accident
Village Road,Clear,4.0,60.0,75.0,Severe Accident
Village Road,Clear,5.0,60.0,74.0,Severe Accident
Village Road,Foggy,1.0,60.0,84.0,Severe Accident
Village Road,Rainy,8.0,60.0,90.0,Severe Accident
Village Road,Clear,5.0,60.0,82.0,Severe Accident
Village Road,Clear,2.0,60.0,82.0,Severe Accident
Village Road,Foggy,2.0,60.0,78.0,Severe Accident
Village Road,Rainy,2.0,60.0,77.0,Severe Accident
Village Road,Clear,5.0,60.0,72.0,Severe Accident
Village Road,Clear,6.0,60.0,80.0,Severe Accident
Village Road,Foggy,1.0,60.0,77.0,Severe Accident
Village Road,Rainy,4.0,60.0,81.0,Severe Accident
Village Road,Clear,5.0,60.0,70.0,Severe Accident
Village Road,Clear,8.0,60.0,74.0,Severe Accident
Village Road,Foggy,1.0,60.0,73.0,Severe Accident
Village Road,Rainy,6.0,60.0,70.0,Severe Accident
Village Road,Clear,7.0,60.0,70.0,Severe Accident
Village Road,Clear,8.0,60.0,83.0,Severe Accident
Village Road,Foggy,2.0,60.0,81.0,Severe Accident
Village Road,Rainy,3.0,60.0,89.0,Severe Accident
Village Road,Clear,2.0,60.0,85.0,Severe Accident
Village Road,Clear,6.0,60.0,84.0,Severe Accident
Village Road,Foggy,1.0,60.0,74.0,Severe Accident
Village Road,Rainy,6.0,60.0,72.0,Severe Accident
Village Road,Clear,2.0,60.0,71.0,Severe Accident
Village Road,Clear,5.0,60.0,70.0,Severe Accident
Village Road,Foggy,8.0,60.0,72.0,Severe Accident
Village Road,Rainy,7.0,60.0,86.0,Severe Accident
Village Road,Clear,2.0,60.0,73.0,Severe Accident
Village Road,Clear,5.0,60.0,78.0,Severe Accident
Village Road,Foggy,7.0,60.0,76.0,Severe Accident
Village Road,Rainy,7.0,60.0,79.0,Severe Accident
Village Road,Clear,8.0,60.0,78.0,Severe Accident
Village Road,Clear,4.0,60.0,73.0,Severe Accident
Village Road,Foggy,5.0,60.0,80.0,Severe Accident
Village Road,Rainy,2.0,60.0,75.0,Severe Accident
Village Road,Clear,5.0,60.0,76.0,Severe Accident
Village Road,Clear,1.0,60.0,89.0,Severe Accident
Village Road,Foggy,6.0,60.0,76.0,Severe Accident
Village Road,Rainy,6.0,60.0,87.0,Severe Accident
Village Road,Clear,4.0,60.0,81.0,Severe Accident
Village Road,Clear,6.0,60.0,83.0,Severe Accident
Village Road,Foggy,4.0,60.0,83.0,Severe Accident
Village Road,Rainy,3.0,60.0,79.0,Severe Accident
Village Road,Clear,7.0,60.0,71.0,Severe Accident
Village Road,Clear,7.0,60.0,87.0,Severe Accident
Village Road,Foggy,6.0,60.0,80.0,Severe Accident
Village Road,Rainy,8.0,60.0,71.0,Severe Accident
Village Road,Clear,1.0,60.0,74.0,Severe Accident
Village Road,Clear,4.0,60.0,74.0,Severe Accident
Village Road,Foggy,7.0,60.0,89.0,Severe Accident
Village Road,Rainy,2.0,60.0,81.0,Severe Accident
Village Road,Clear,5.0,60.0,70.0,Severe Accident
Village Road,Clear,6.0,60.0,87.0,Severe Accident
Village Road,Foggy,4.0,60.0,77.0,Severe Accident
Village Road,Rainy,1.0,60.0,76.0,Severe Accident
Village Road,Clear,2.0,60.0,82.0,Severe Accident
Village Road,Clear,5.0,60.0,85.0,Severe Accident
Village Road,Foggy,5.0,60.0,70.0,Severe Accident
Village Road,Rainy,8.0,60.0,84.0,Severe Accident
Village Road,Clear,7.0,60.0,70.0,Severe Accident
Village Road,Clear,5.0,60.0,82.0,Severe Accident
Village Road,Foggy,7.0,60.0,71.0,Severe Accident
Village Road,Rainy,6.0,60.0,87.0,Severe Accident
Village Road,Clear,1.0,60.0,73.0,Severe Accident
Village Road,Clear,2.0,60.0,81.0,Severe Accident
Village Road,Foggy,3.0,60.0,87.0,Severe Accident
Village Road,Rainy,2.0,60.0,78.0,Severe Accident
Village Road,Clear,8.0,60.0,86.0,Severe Accident
Village Road,Clear,6.0,60.0,80.0,Severe Accident
Village Road,Foggy,7.0,60.0,89.0,Severe Accident
Village Road,Rainy,3.0,60.0,70.0,Severe Accident
Village Road,Clear,5.0,60.0,71.0,Severe Accident
Village Road,Clear,7.0,60.0,74.0,Severe Accident
Village Road,Foggy,3.0,60.0,82.0,Severe Accident
Village Road,Rainy,1.0,60.0,75.0,Severe Accident
Village Road,Clear,6.0,60.0,86.0,Severe Accident
Village Road,Clear,1.0,60.0,76.0,Severe Accident
Village Road,Foggy,3.0,60.0,90.0,Severe Accident
Village Road,Rainy,3.0,60.0,90.0,Severe Accident
Village Road,Clear,7.0,60.0,85.0,Severe Accident
Village Road,Clear,7.0,60.0,88.0,Severe Accident
Village Road,Foggy,5.0,60.0,81.0,Severe Accident
Village Road,Rainy,6.0,60.0,88.0,Severe Accident
Village Road,Clear,6.0,60.0,83.0,Severe Accident
Village Road,Clear,8.0,60.0,71.0,Severe Accident
Village Road,Foggy,6.0,60.0,81.0,Severe Accident
Village Road,Rainy,6.0,60.0,72.0,Severe Accident
Village Road,Clear,3.0,60.0,80.0,Severe Accident
Village Road,Clear,5.0,60.0,85.0,Severe Accident
Village Road,Foggy,3.0,60.0,81.0,Severe Accident
Village Road,Rainy,7.0,60.0,70.0,Severe Accident
Village Road,Clear,4.0,60.0,83.0,Severe Accident
Village Road,Clear,1.0,60.0,87.0,Severe Accident
Village Road,Foggy,2.0,60.0,89.0,Severe Accident
Village Road,Rainy,1.0,60.0,84.0,Severe Accident
Village Road,Clear,8.0,60.0,78.0,Severe Accident
Village Road,Clear,7.0,60.0,73.0,Severe Accident
Village Road,Foggy,2.0,60.0,88.0,Severe Accident
Village Road,Rainy,4.0,60.0,77.0,Severe Accident
Village Road,Clear,8.0,60.0,86.0,Severe Accident
Village Road,Clear,4.0,60.0,84.0,Severe Accident
Village Road,Foggy,7.0,60.0,88.0,Severe Accident
Village Road,Rainy,8.0,60.0,89.0,Severe Accident
Village Road,Clear,6.0,60.0,79.0,Severe Accident
Village Road,Clear,3.0,60.0,70.0,Severe Accident
Village Road,Foggy,4.0,60.0,70.0,Severe Accident
Village Road,Rainy,7.0,60.0,79.0,Severe Accident
Village Road,Clear,8.0,60.0,89.0,Severe Accident
Village Road,Clear,1.0,60.0,82.0,Severe Accident
Village Road,Foggy,4.0,60.0,89.0,Severe Accident
Village Road,Rainy,7.0,60.0,84.0,Severe Accident
Village Road,Clear,5.0,60.0,72.0,Severe Accident
Village Road,Clear,5.0,60.0,77.0,Severe Accident
Village Road,Foggy,8.0,60.0,72.0,Severe Accident
Village Road,Rainy,7.0,60.0,85.0,Severe Accident
Village Road,Clear,3.0,60.0,90.0,Severe Accident
Village Road,Clear,8.0,60.0,89.0,Severe Accident
Village Road,Foggy,3.0,60.0,75.0,Severe Accident
Village Road,Rainy,3.0,60.0,89.0,Severe Accident
Village Road,Clear,7.0,60.0,77.0,Severe Accident
Village Road,Clear,3.0,60.0,80.0,Severe Accident
Village Road,Foggy,3.0,60.0,77.0,Severe Accident
Village Road,Rainy,4.0,60.0,89.0,Severe Accident
Village Road,Clear,1.0,60.0,73.0,Severe Accident
Village Road,Clear,2.0,60.0,84.0,Severe Accident
Village Road,Foggy,6.0,60.0,84.0,Severe Accident
Village Road,Rainy,8.0,60.0,78.0,Severe Accident
Village Road,Clear,3.0,60.0,71.0,Severe Accident
Village Road,Clear,1.0,60.0,73.0,Severe Accident
Village Road,Foggy,1.0,60.0,85.0,Severe Accident
Village Road,Rainy,2.0,60.0,73.0,Severe Accident
Village Road,Clear,3.0,60.0,85.0,Severe Accident
Village Road,Clear,6.0,60.0,70.0,Severe Accident
Village Road,Foggy,7.0,60.0,77.0,Severe Accident
Village Road,Rainy,8.0,60.0,81.0,Severe Accident
Village Road,Clear,7.0,60.0,81.0,Severe Accident
Village Road,Clear,6.0,60.0,70.0,Severe Accident
Village Road,Foggy,8.0,60.0,76.0,Severe Accident
Village Road,Rainy,8.0,60.0,89.0,Severe Accident
Village Road,Clear,2.0,60.0,80.0,Severe Accident
Village Road,Clear,3.0,60.0,83.0,Severe Accident
Village Road,Foggy,8.0,60.0,71.0,Severe Accident
Village Road,Rainy,7.0,60.0,72.0,Severe Accident
Village Road,Clear,3.0,60.0,75.0,Severe Accident
Village Road,Clear,6.0,60.0,78.0,Severe Accident
Village Road,Foggy,4.0,60.0,79.0,Severe Accident
Village Road,Rainy,1.0,60.0,73.0,Severe Accident
Village Road,Clear,2.0,60.0,85.0,Severe Accident
Highway,Foggy,7.0,80.0,94.0,Severe Accident
Highway,Rainy,1.0,80.0,92.0,Severe Accident
Highway,Clear,7.0,80.0,93.0,Severe Accident
Highway,Clear,1.0,80.0,119.0,Severe Accident
Highway,Foggy,3.0,80.0,90.0,Severe Accident
Highway,Rainy,2.0,80.0,105.0,Severe Accident
Highway,Clear,4.0,80.0,102.0,Severe Accident
Highway,Clear,6.0,80.0,114.0,Severe Accident
Highway,Foggy,3.0,80.0,106.0,Severe Accident
Highway,Rainy,2.0,80.0,103.0,Severe Accident
Highway,Clear,5.0,80.0,92.0,Severe Accident
Highway,Clear,4.0,80.0,113.0,Severe Accident
